catch_rate,height,data7,data3,data6.1,defense,sp_atk,sp_def,dexnum,special_group,percent_female,data2,hp,data5,generation,base_exp,speed,weight,total,ev_yield,data6.3,data6.2,growth_rate,data4,base_friendship,attack,egg_cycles,data1,data6,percent_male
45,6.5,Water 2,Atrocious,Dragon ,79,60,100,130,Ordinary,50.0,Flying,95,Moxie,1,189,81,235.0,540,2 Attack,Dragon ,,Slow,Intimidate,50,125,5,Water,,50.0
45,2.5,Water 1,Transport,Monster ,80,85,95,131,Ordinary,50.0,Ice,130,Shell Armor,1,187,60,220.0,535,2 HP,Monster ,Hydration,Slow,Water Absorb,50,85,40,Water,Hydration,50.0
35,0.3,,Transform,Ditto,48,48,48,132,Ordinary,,,48,Imposter,1,101,48,4.0,288,1 HP,Ditto,,Medium Fast,Limber,50,48,20,Normal,,
45,0.3,,Evolution,Field,50,45,65,133,Ordinary,12.5,,55,Adaptability,1,65,55,6.5,325,1 Sp. Def,Field,Anticipation,Medium Fast,Run Away,50,55,35,Normal,Anticipation,87.5
45,1.0,,Bubble Jet,Field,60,110,95,134,Ordinary,12.5,,130,Hydration,1,184,65,29.0,525,2 HP,Field,,Medium Fast,Water Absorb,50,65,35,Water,,87.5
45,0.8,,Lightning,Field,60,110,95,135,Ordinary,12.5,,65,Quick Feet,1,184,130,24.5,525,2 Speed,Field,,Medium Fast,Volt Absorb,50,65,35,Electric,,87.5
45,0.9,,Flame,Field,60,95,110,136,Ordinary,12.5,,65,Guts,1,184,65,25.0,525,2 Attack,Field,,Medium Fast,Flash Fire,50,130,35,Fire,,87.5
45,0.8,,Virtual,Mineral,70,85,75,137,Ordinary,,,65,Download,1,79,40,36.5,395,1 Sp. Atk,Mineral,Analytic,Medium Fast,Trace,50,60,20,Normal,Analytic,
45,0.4,Water 3,Spiral,Water 1 ,100,90,55,138,Fossil,12.5,Water,35,Shell Armor,1,71,35,7.5,355,1 Defense,Water 1 ,Weak Armor,Medium Fast,Swift Swim,50,40,30,Rock,Weak Armor,87.5
45,1.0,Water 3,Spiral,Water 1 ,125,115,70,139,Fossil,12.5,Water,70,Shell Armor,1,173,55,35.0,495,2 Defense,Water 1 ,Weak Armor,Medium Fast,Swift Swim,50,60,30,Rock,Weak Armor,87.5
45,0.5,Water 3,Shellfish,Water 1 ,90,55,45,140,Fossil,12.5,Water,30,Battle Armor,1,71,55,11.5,355,1 Defense,Water 1 ,Weak Armor,Medium Fast,Swift Swim,50,80,30,Rock,Weak Armor,87.5
45,1.3,Water 3,Shellfish,Water 1 ,105,65,70,141,Fossil,12.5,Water,60,Battle Armor,1,173,80,40.5,495,2 Attack,Water 1 ,Weak Armor,Medium Fast,Swift Swim,50,115,30,Rock,Weak Armor,87.5
45,1.8,,Fossil,Flying,65,60,75,142,Fossil,12.5,Flying,80,Pressure,1,180,130,59.0,515,2 Speed,Flying,Unnerve,Slow,Rock Head,50,105,35,Rock,Unnerve,87.5
25,2.1,,Sleeping,Monster,65,65,110,143,Ordinary,12.5,,160,Thick Fat,1,189,30,460.0,540,2 HP,Monster,Gluttony,Slow,Immunity,50,110,40,Normal,Gluttony,87.5
3,1.7,,Freeze,Undiscovered,100,95,125,144,Legendary,,Flying,90,Snow Cloak,1,290,85,55.4,580,3 Sp. Def,Undiscovered,,Slow,Pressure,35,85,80,Ice,,
3,1.6,,Electric,Undiscovered,85,125,90,145,Legendary,,Flying,90,Static,1,290,100,52.6,580,3 Sp. Atk,Undiscovered,,Slow,Pressure,35,90,80,Electric,,
3,2.0,,Flame,Undiscovered,90,125,85,146,Legendary,,Flying,90,Flame Body,1,290,90,60.0,580,3 Sp. Atk,Undiscovered,,Slow,Pressure,35,100,80,Fire,,
45,1.8,Water 1,Dragon,Dragon ,45,50,50,147,Ordinary,50.0,,41,Marvel Scale,1,60,50,3.3,300,1 Attack,Dragon ,,Slow,Shed Skin,35,64,40,Dragon,,50.0
45,4.0,Water 1,Dragon,Dragon ,65,70,70,148,Ordinary,50.0,,61,Marvel Scale,1,147,70,16.5,420,2 Attack,Dragon ,,Slow,Shed Skin,35,84,40,Dragon,,50.0
45,2.2,Water 1,Dragon,Dragon ,95,100,100,149,Ordinary,50.0,Flying,91,Multiscale,1,300,80,210.0,600,3 Attack,Dragon ,,Slow,Inner Focus,35,134,40,Dragon,,50.0
3,2.0,,Genetic,Undiscovered,90,154,90,150,Legendary,,,106,Unnerve,1,340,130,122.0,680,3 Sp. Atk,Undiscovered,,Slow,Pressure,0,110,120,Psychic,,
45,0.4,,New Species,Undiscovered,100,100,100,151,Mythical,,,100,,1,300,100,4.0,600,3 HP,Undiscovered,,Medium Slow,Synchronize,100,100,120,Psychic,,
45,0.9,Monster,Leaf,Grass ,65,49,65,152,Ordinary,12.5,,45,Leaf Guard,2,64,45,6.4,318,1 Sp. Def,Grass ,,Medium Slow,Overgrow,50,49,20,Grass,,87.5
45,1.2,Monster,Leaf,Grass ,80,63,80,153,Ordinary,12.5,,60,Leaf Guard,2,142,60,15.8,405,"1 Defense, 1 Sp. Def",Grass ,,Medium Slow,Overgrow,50,62,20,Grass,,87.5
45,1.8,Monster,Herb,Grass ,100,83,100,154,Ordinary,12.5,,80,Leaf Guard,2,236,80,100.5,525,"1 Defense, 2 Sp. Def",Grass ,,Medium Slow,Overgrow,50,82,20,Grass,,87.5
45,0.5,,Fire Mouse,Field,43,60,50,155,Ordinary,12.5,,39,Flash Fire,2,62,65,7.9,309,1 Speed,Field,,Medium Slow,Blaze,50,52,20,Fire,,87.5
45,0.9,,Volcano,Field,58,80,65,156,Ordinary,12.5,,58,Flash Fire,2,142,80,19.0,405,"1 Sp. Atk, 1 Speed",Field,,Medium Slow,Blaze,50,64,20,Fire,,87.5
45,1.7,,Volcano,Field,78,109,85,157,Ordinary,12.5,,78,Flash Fire,2,267,100,79.5,534,3 Sp. Atk,Field,,Medium Slow,Blaze,50,84,20,Fire,,87.5
45,0.6,Water 1,Big Jaw,Monster ,64,44,48,158,Ordinary,12.5,,50,Sheer Force,2,63,43,9.5,314,1 Attack,Monster ,,Medium Slow,Torrent,50,65,20,Water,,87.5
45,1.1,Water 1,Big Jaw,Monster ,80,59,63,159,Ordinary,12.5,,65,Sheer Force,2,142,58,25.0,405,"1 Attack, 1 Defense",Monster ,,Medium Slow,Torrent,50,80,20,Water,,87.5
45,2.3,Water 1,Big Jaw,Monster ,100,79,83,160,Ordinary,12.5,,85,Sheer Force,2,239,78,88.8,530,"2 Attack, 1 Defense",Monster ,,Medium Slow,Torrent,50,105,20,Water,,87.5
255,0.8,,Scout,Field,34,35,45,161,Ordinary,50.0,,35,Keen Eye,2,43,20,6.0,215,1 Attack,Field,Frisk,Medium Fast,Run Away,50,46,15,Normal,Frisk,50.0
90,1.8,,Long Body,Field,64,45,55,162,Ordinary,50.0,,85,Keen Eye,2,145,90,32.5,415,2 Speed,Field,Frisk,Medium Fast,Run Away,50,76,15,Normal,Frisk,50.0
255,0.7,,Owl,Flying,30,36,56,163,Ordinary,50.0,Flying,60,Keen Eye,2,52,50,21.2,262,1 HP,Flying,Tinted Lens,Medium Fast,Insomnia,50,30,15,Normal,Tinted Lens,50.0
90,1.6,,Owl,Flying,50,86,96,164,Ordinary,50.0,Flying,100,Keen Eye,2,158,70,40.8,452,2 HP,Flying,Tinted Lens,Medium Fast,Insomnia,50,50,15,Normal,Tinted Lens,50.0
255,1.0,,Five Star,Bug,30,40,80,165,Ordinary,50.0,Flying,40,Early Bird,2,53,55,10.8,265,1 Sp. Def,Bug,Rattled,Fast,Swarm,50,20,15,Bug,Rattled,50.0
90,1.4,,Five Star,Bug,50,55,110,166,Ordinary,50.0,Flying,55,Early Bird,2,137,85,35.6,390,2 Sp. Def,Bug,Iron Fist,Fast,Swarm,50,35,15,Bug,Iron Fist,50.0
255,0.5,,String Spit,Bug,40,40,40,167,Ordinary,50.0,Poison,40,Insomnia,2,50,30,8.5,250,1 Attack,Bug,Sniper,Fast,Swarm,50,60,15,Bug,Sniper,50.0
90,1.1,,Long Leg,Bug,70,60,70,168,Ordinary,50.0,Poison,70,Insomnia,2,140,40,33.5,400,2 Attack,Bug,Sniper,Fast,Swarm,50,90,15,Bug,Sniper,50.0
90,1.8,,Bat,Flying,80,70,80,169,Ordinary,50.0,Flying,85,Infiltrator,2,241,130,75.0,535,3 Speed,Flying,,Medium Fast,Inner Focus,50,90,15,Poison,,50.0
190,0.5,,Angler,Water 2,38,56,56,170,Ordinary,50.0,Electric,75,Illuminate,2,66,67,12.0,330,1 HP,Water 2,Water Absorb,Slow,Volt Absorb,50,38,20,Water,Water Absorb,50.0
75,1.2,,Light,Water 2,58,76,76,171,Ordinary,50.0,Electric,125,Illuminate,2,161,67,22.5,460,2 HP,Water 2,Water Absorb,Slow,Volt Absorb,50,58,20,Water,Water Absorb,50.0
190,0.3,,Tiny Mouse,Undiscovered,15,35,35,172,Baby Pokemon,50.0,,20,Lightning Rod,2,41,60,2.0,205,1 Speed,Undiscovered,,Medium Fast,Static,50,40,10,Electric,,50.0
150,0.3,,Star Shape,Undiscovered,28,45,55,173,Baby Pokemon,75.0,,50,Magic Guard,2,44,15,3.0,218,1 Sp. Def,Undiscovered,Friend Guard,Fast,Cute Charm,140,25,10,Fairy,Friend Guard,25.0
170,0.3,,Balloon,Undiscovered,15,40,20,174,Baby Pokemon,75.0,Fairy,90,Competitive,2,42,15,1.0,210,1 HP,Undiscovered,Friend Guard,Fast,Cute Charm,50,30,10,Normal,Friend Guard,25.0
190,0.3,,Spike Ball,Undiscovered,65,40,65,175,Baby Pokemon,12.5,,35,Serene Grace,2,49,20,1.5,245,1 Sp. Def,Undiscovered,Super Luck,Fast,Hustle,50,20,10,Fairy,Super Luck,87.5
75,0.6,Flying,Happiness,Fairy ,85,80,105,176,Ordinary,12.5,Flying,55,Serene Grace,2,142,40,3.2,405,2 Sp. Def,Fairy ,Super Luck,Fast,Hustle,50,40,10,Fairy,Super Luck,87.5
190,0.2,,Tiny Bird,Flying,45,70,45,177,Ordinary,50.0,Flying,40,Early Bird,2,64,70,2.0,320,1 Sp. Atk,Flying,Magic Bounce,Medium Fast,Synchronize,50,50,20,Psychic,Magic Bounce,50.0
75,1.5,,Mystic,Flying,70,95,70,178,Ordinary,50.0,Flying,65,Early Bird,2,165,95,15.0,470,"1 Sp. Atk, 1 Speed",Flying,Magic Bounce,Medium Fast,Synchronize,50,75,20,Psychic,Magic Bounce,50.0
235,0.6,Monster,Wool,Field ,40,65,45,179,Ordinary,50.0,,55,Plus,2,56,35,7.8,280,1 Sp. Atk,Field ,,Medium Slow,Static,50,40,20,Electric,,50.0
120,0.8,Monster,Wool,Field ,55,80,60,180,Ordinary,50.0,,70,Plus,2,128,45,13.3,365,2 Sp. Atk,Field ,,Medium Slow,Static,50,55,20,Electric,,50.0
45,1.4,Monster,Light,Field ,85,115,90,181,Ordinary,50.0,,90,Plus,2,255,55,61.5,510,3 Sp. Atk,Field ,,Medium Slow,Static,50,75,20,Electric,,50.0
45,0.4,,Flower,Grass,95,90,100,182,Ordinary,50.0,,75,Healer,2,221,50,5.8,490,3 Sp. Def,Grass,,Medium Slow,Chlorophyll,50,80,20,Grass,,50.0
190,0.4,Water 1,Aqua Mouse,Fairy ,50,20,50,183,Ordinary,50.0,Fairy,70,Huge Power,2,88,40,8.5,250,2 HP,Fairy ,Sap Sipper,Fast,Thick Fat,50,20,10,Water,Sap Sipper,50.0
75,0.8,Water 1,Aqua Rabbit,Fairy ,80,60,80,184,Ordinary,50.0,Fairy,100,Huge Power,2,210,50,28.5,420,3 HP,Fairy ,Sap Sipper,Fast,Thick Fat,50,50,10,Water,Sap Sipper,50.0
65,1.2,,Imitation,Mineral,115,30,65,185,Ordinary,50.0,,70,Rock Head,2,144,30,38.0,410,2 Defense,Mineral,Rattled,Medium Fast,Sturdy,50,100,20,Rock,Rattled,50.0
45,1.1,,Frog,Water 1,75,90,100,186,Ordinary,50.0,,90,Damp,2,225,70,33.9,500,3 Sp. Def,Water 1,Drizzle,Medium Slow,Water Absorb,50,75,20,Water,Drizzle,50.0
255,0.4,Grass,Cottonweed,Fairy ,40,35,55,187,Ordinary,50.0,Flying,35,Leaf Guard,2,50,50,0.5,250,1 Sp. Def,Fairy ,Infiltrator,Medium Slow,Chlorophyll,50,35,20,Grass,Infiltrator,50.0
120,0.6,Grass,Cottonweed,Fairy ,50,45,65,188,Ordinary,50.0,Flying,55,Leaf Guard,2,119,80,1.0,340,2 Speed,Fairy ,Infiltrator,Medium Slow,Chlorophyll,50,45,20,Grass,Infiltrator,50.0
45,0.8,Grass,Cottonweed,Fairy ,70,55,95,189,Ordinary,50.0,Flying,75,Leaf Guard,2,230,110,3.0,460,3 Speed,Fairy ,Infiltrator,Medium Slow,Chlorophyll,50,55,20,Grass,Infiltrator,50.0
45,0.8,,Long Tail,Field,55,40,55,190,Ordinary,50.0,,55,Pickup,2,72,85,11.5,360,1 Speed,Field,Skill Link,Fast,Run Away,50,70,20,Normal,Skill Link,50.0
235,0.3,,Seed,Grass,30,30,30,191,Ordinary,50.0,,30,Solar Power,2,36,30,1.8,180,1 Sp. Atk,Grass,Early Bird,Medium Slow,Chlorophyll,50,30,20,Grass,Early Bird,50.0
120,0.8,,Sun,Grass,55,105,85,192,Ordinary,50.0,,75,Solar Power,2,149,30,8.5,425,2 Sp. Atk,Grass,Early Bird,Medium Slow,Chlorophyll,50,75,20,Grass,Early Bird,50.0
75,1.2,,Clear Wing,Bug,45,75,45,193,Ordinary,50.0,Flying,65,Compound Eyes,2,78,95,38.0,390,1 Speed,Bug,Frisk,Medium Fast,Speed Boost,50,65,20,Bug,Frisk,50.0
255,0.4,Water 1,Water Fish,Field ,45,25,25,194,Ordinary,50.0,Ground,55,Water Absorb,2,42,15,8.5,210,1 HP,Field ,Unaware,Medium Fast,Damp,50,45,20,Water,Unaware,50.0
90,1.4,Water 1,Water Fish,Field ,85,65,65,195,Ordinary,50.0,Ground,95,Water Absorb,2,151,35,75.0,430,2 HP,Field ,Unaware,Medium Fast,Damp,50,85,20,Water,Unaware,50.0
45,0.9,,Sun,Field,60,130,95,196,Ordinary,12.5,,65,Magic Bounce,2,184,110,26.5,525,2 Sp. Atk,Field,,Medium Fast,Synchronize,50,65,35,Psychic,,87.5
45,1.0,,Moonlight,Field,110,60,130,197,Ordinary,12.5,,95,Inner Focus,2,184,65,27.0,525,2 Sp. Def,Field,,Medium Fast,Synchronize,35,65,35,Dark,,87.5
30,0.5,,Darkness,Flying,42,85,42,198,Ordinary,50.0,Flying,60,Super Luck,2,81,91,2.1,405,1 Speed,Flying,Prankster,Medium Slow,Insomnia,35,85,20,Dark,Prankster,50.0
70,2.0,Water 1,Royal,Monster ,80,100,110,199,Ordinary,50.0,Psychic,95,Own Tempo,2,172,30,79.5,490,2 Sp. Def,Monster ,Regenerator,Medium Fast,Oblivious,50,75,20,Water,Regenerator,50.0
45,0.7,,Screech,Amorphous,60,85,85,200,Ordinary,50.0,,60,,2,87,85,1.0,435,1 Sp. Def,Amorphous,,Fast,Levitate,35,60,25,Ghost,,50.0
225,0.5,,Symbol,Undiscovered,48,72,48,201,Ordinary,,,48,,2,118,48,5.0,336,"1 Attack, 1 Sp. Atk",Undiscovered,,Medium Fast,Levitate,50,72,40,Psychic,,
45,1.3,,Patient,Amorphous,58,33,58,202,Ordinary,50.0,,190,Telepathy,2,142,33,28.5,405,2 HP,Amorphous,,Medium Fast,Shadow Tag,50,33,20,Psychic,,50.0
60,1.5,,Long Neck,Field,65,90,65,203,Ordinary,50.0,Psychic,70,Early Bird,2,159,85,41.5,455,2 Sp. Atk,Field,Sap Sipper,Medium Fast,Inner Focus,50,80,20,Normal,Sap Sipper,50.0
190,0.6,,Bagworm,Bug,90,35,35,204,Ordinary,50.0,,50,Overcoat,2,58,15,7.2,290,1 Defense,Bug,,Medium Fast,Sturdy,50,65,20,Bug,,50.0
75,1.2,,Bagworm,Bug,140,60,60,205,Ordinary,50.0,Steel,75,Overcoat,2,163,40,125.8,465,2 Defense,Bug,,Medium Fast,Sturdy,50,90,20,Bug,,50.0
190,1.5,,Land Snake,Field,70,65,65,206,Ordinary,50.0,,100,Run Away,2,145,45,14.0,415,1 HP,Field,Rattled,Medium Fast,Serene Grace,50,70,20,Normal,Rattled,50.0
60,1.1,,FlyScorpion,Bug,105,35,65,207,Ordinary,50.0,Flying,65,Sand Veil,2,86,85,64.8,430,1 Defense,Bug,Immunity,Medium Slow,Hyper Cutter,50,75,20,Ground,Immunity,50.0
25,9.2,,Iron Snake,Mineral,200,55,65,208,Ordinary,50.0,Ground,75,Sturdy,2,179,30,400.0,510,2 Defense,Mineral,Sheer Force,Medium Fast,Rock Head,50,85,25,Steel,Sheer Force,50.0
190,0.6,Field,Fairy,Fairy ,50,40,40,209,Ordinary,75.0,,60,Run Away,2,60,30,7.8,300,1 Attack,Fairy ,Rattled,Fast,Intimidate,50,80,20,Fairy,Rattled,25.0
75,1.4,Field,Fairy,Fairy ,75,60,60,210,Ordinary,75.0,,90,Quick Feet,2,158,45,48.7,450,2 Attack,Fairy ,Rattled,Fast,Intimidate,50,120,20,Fairy,Rattled,25.0
45,0.5,,Balloon,Water 2,85,55,55,211,Ordinary,50.0,Poison,65,Swift Swim,2,88,85,3.9,440,1 Attack,Water 2,Intimidate,Medium Fast,Poison Point,50,95,20,Water,Intimidate,50.0
25,1.8,,Pincer,Bug,100,55,80,212,Ordinary,50.0,Steel,70,Technician,2,175,65,118.0,500,2 Attack,Bug,Light Metal,Medium Fast,Swarm,50,130,25,Bug,Light Metal,50.0
190,0.6,,Mold,Bug,230,10,230,213,Ordinary,50.0,Rock,20,Gluttony,2,177,5,20.5,505,"1 Defense, 1 Sp. Def",Bug,Contrary,Medium Slow,Sturdy,50,10,20,Bug,Contrary,50.0
45,1.5,,Single Horn,Bug,75,40,95,214,Ordinary,50.0,Fighting,80,Guts,2,175,85,54.0,500,2 Attack,Bug,Moxie,Slow,Swarm,50,125,25,Bug,Moxie,50.0
60,0.9,,Sharp Claw,Field,55,35,75,215,Ordinary,50.0,Ice,55,Keen Eye,2,86,115,28.0,430,1 Speed,Field,Pickpocket,Medium Slow,Inner Focus,35,95,20,Dark,Pickpocket,50.0
120,0.6,,Little Bear,Field,50,50,50,216,Ordinary,50.0,,60,Quick Feet,2,66,40,8.8,330,1 Attack,Field,Honey Gather,Medium Fast,Pickup,50,80,20,Normal,Honey Gather,50.0
60,1.8,,Hibernator,Field,75,75,75,217,Ordinary,50.0,,90,Quick Feet,2,175,55,125.8,500,2 Attack,Field,Unnerve,Medium Fast,Guts,50,130,20,Normal,Unnerve,50.0
190,0.7,,Lava,Amorphous,40,70,40,218,Ordinary,50.0,,40,Flame Body,2,50,20,35.0,250,1 Sp. Atk,Amorphous,Weak Armor,Medium Fast,Magma Armor,50,40,20,Fire,Weak Armor,50.0
75,0.8,,Lava,Amorphous,120,90,80,219,Ordinary,50.0,Rock,60,Flame Body,2,151,30,55.0,430,2 Defense,Amorphous,Weak Armor,Medium Fast,Magma Armor,50,50,20,Fire,Weak Armor,50.0
225,0.4,,Pig,Field,40,30,30,220,Ordinary,50.0,Ground,50,Snow Cloak,2,50,50,6.5,250,1 Attack,Field,Thick Fat,Slow,Oblivious,50,50,20,Ice,Thick Fat,50.0
75,1.1,,Swine,Field,80,60,60,221,Ordinary,50.0,Ground,100,Snow Cloak,2,158,50,55.8,450,"1 HP, 1 Attack",Field,Thick Fat,Slow,Oblivious,50,100,20,Ice,Thick Fat,50.0
60,0.6,Water 3,Coral,Water 1 ,95,65,95,222,Ordinary,75.0,Rock,65,Natural Cure,2,144,35,5.0,410,"1 Defense, 1 Sp. Def",Water 1 ,Regenerator,Fast,Hustle,50,55,20,Water,Regenerator,25.0
190,0.6,Water 2,Jet,Water 1 ,35,65,35,223,Ordinary,50.0,,35,Sniper,2,60,65,12.0,300,1 Sp. Atk,Water 1 ,Moody,Medium Fast,Hustle,50,65,20,Water,Moody,50.0
75,0.9,Water 2,Jet,Water 1 ,75,105,75,224,Ordinary,50.0,,75,Sniper,2,168,45,28.5,480,"1 Attack, 1 Sp. Atk",Water 1 ,Moody,Medium Fast,Suction Cups,50,105,20,Water,Moody,50.0
45,0.9,Water 1,Delivery,Field ,45,65,45,225,Ordinary,50.0,Flying,45,Hustle,2,116,75,16.0,330,1 Speed,Field ,Insomnia,Fast,Vital Spirit,50,55,20,Ice,Insomnia,50.0
25,2.1,,Kite,Water 1,70,80,140,226,Ordinary,50.0,Flying,85,Water Absorb,2,170,70,220.0,485,2 Sp. Def,Water 1,Water Veil,Slow,Swift Swim,50,40,25,Water,Water Veil,50.0
25,1.7,,Armor Bird,Flying,140,40,70,227,Ordinary,50.0,Flying,65,Sturdy,2,163,70,50.5,465,2 Defense,Flying,Weak Armor,Slow,Keen Eye,50,80,25,Steel,Weak Armor,50.0
120,0.6,,Dark,Field,30,80,50,228,Ordinary,50.0,Fire,45,Flash Fire,2,66,65,10.8,330,1 Sp. Atk,Field,Unnerve,Slow,Early Bird,35,60,20,Dark,Unnerve,50.0
45,1.4,,Dark,Field,50,110,80,229,Ordinary,50.0,Fire,75,Flash Fire,2,175,95,35.0,500,2 Sp. Atk,Field,Unnerve,Slow,Early Bird,35,90,20,Dark,Unnerve,50.0
45,1.8,Water 1,Dragon,Dragon ,95,95,95,230,Ordinary,50.0,Dragon,75,Sniper,2,243,85,152.0,540,"1 Attack, 1 Sp. Atk, 1 Sp. Def",Dragon ,Damp,Medium Fast,Swift Swim,50,95,20,Water,Damp,50.0
120,0.5,,Long Nose,Field,60,40,40,231,Ordinary,50.0,,90,Sand Veil,2,66,40,33.5,330,1 HP,Field,,Medium Fast,Pickup,50,60,20,Ground,,50.0
60,1.1,,Armor,Field,120,60,60,232,Ordinary,50.0,,90,Sand Veil,2,175,50,120.0,500,"1 Attack, 1 Defense",Field,,Medium Fast,Sturdy,50,120,20,Ground,,50.0
45,0.6,,Virtual,Mineral,90,105,95,233,Ordinary,,,85,Download,2,180,60,32.5,515,2 Sp. Atk,Mineral,Analytic,Medium Fast,Trace,50,80,20,Normal,Analytic,
45,1.4,,Big Horn,Field,62,85,65,234,Ordinary,50.0,,73,Frisk,2,163,85,71.2,465,1 Attack,Field,Sap Sipper,Slow,Intimidate,50,95,20,Normal,Sap Sipper,50.0
45,1.2,,Painter,Field,35,20,45,235,Ordinary,50.0,,55,Technician,2,88,75,58.0,250,1 Speed,Field,Moody,Fast,Own Tempo,50,20,20,Normal,Moody,50.0
75,0.7,,Scuffle,Undiscovered,35,35,35,236,Baby Pokemon,0.0,,35,Steadfast,2,42,35,21.0,210,1 Attack,Undiscovered,Vital Spirit,Medium Fast,Guts,50,35,25,Fighting,Vital Spirit,100.0
45,1.4,,Handstand,Human-Like,95,35,110,237,Ordinary,0.0,,50,Technician,2,159,70,48.0,455,2 Sp. Def,Human-Like,Steadfast,Medium Fast,Intimidate,50,95,25,Fighting,Steadfast,100.0
45,0.4,,Kiss,Undiscovered,15,85,65,238,Baby Pokemon,100.0,Psychic,45,Forewarn,2,61,65,6.0,305,1 Sp. Atk,Undiscovered,Hydration,Medium Fast,Oblivious,50,30,25,Ice,Hydration,0.0
45,0.6,,Electric,Undiscovered,37,65,55,239,Baby Pokemon,25.0,,45,Vital Spirit,2,72,95,23.5,360,1 Speed,Undiscovered,,Medium Fast,Static,50,63,25,Electric,,75.0
45,0.7,,Live Coal,Undiscovered,37,70,55,240,Baby Pokemon,25.0,,45,Vital Spirit,2,73,83,21.4,365,1 Speed,Undiscovered,,Medium Fast,Flame Body,50,75,25,Fire,,75.0
45,1.2,,Milk Cow,Field,105,40,70,241,Ordinary,100.0,,95,Scrappy,2,172,100,75.5,490,2 Defense,Field,Sap Sipper,Slow,Thick Fat,50,80,20,Normal,Sap Sipper,0.0
30,1.5,,Happiness,Fairy,10,75,135,242,Ordinary,100.0,,255,Serene Grace,2,635,55,46.8,540,3 HP,Fairy,Healer,Fast,Natural Cure,140,10,40,Normal,Healer,0.0
3,1.9,,Thunder,Undiscovered,75,115,100,243,Legendary,,,90,Inner Focus,2,261,115,178.0,580,"1 Sp. Atk, 2 Speed",Undiscovered,,Slow,Pressure,35,85,80,Electric,,
3,2.1,,Volcano,Undiscovered,85,90,75,244,Legendary,,,115,Inner Focus,2,261,100,198.0,580,"1 HP, 2 Attack",Undiscovered,,Slow,Pressure,35,115,80,Fire,,
3,2.0,,Aurora,Undiscovered,115,90,115,245,Legendary,,,100,Inner Focus,2,261,85,187.0,580,"1 Defense, 2 Sp. Def",Undiscovered,,Slow,Pressure,35,75,80,Water,,
45,0.6,,Rock Skin,Monster,50,45,50,246,Ordinary,50.0,Ground,50,Sand Veil,2,60,41,72.0,300,1 Attack,Monster,,Slow,Guts,35,64,40,Rock,,50.0
45,1.2,,Hard Shell,Monster,70,65,70,247,Ordinary,50.0,Ground,70,,2,144,51,152.0,410,2 Attack,Monster,,Slow,Shed Skin,35,84,40,Rock,,50.0
45,2.0,,Armor,Monster,110,95,100,248,Ordinary,50.0,Dark,100,Unnerve,2,300,61,202.0,600,3 Attack,Monster,,Slow,Sand Stream,35,134,40,Rock,,50.0
3,5.2,,Diving,Undiscovered,130,90,154,249,Legendary,,Flying,106,Multiscale,2,306,110,216.0,680,3 Sp. Def,Undiscovered,,Slow,Pressure,0,90,120,Psychic,,
3,3.8,,Rainbow,Undiscovered,90,110,154,250,Ordinary,,Flying,106,Regenerator,2,306,90,199.0,680,3 Sp. Def,Undiscovered,,Slow,Pressure,0,130,120,Fire,,
45,0.6,,Time Travel,Undiscovered,100,100,100,251,Mythical,,Grass,100,,2,270,100,5.0,600,3 HP,Undiscovered,,Medium Slow,Natural Cure,100,100,120,Psychic,,
45,0.5,Monster,Wood Gecko,Dragon ,35,65,55,252,Ordinary,12.5,,40,Unburden,3,62,70,5.0,310,1 Speed,Dragon ,,Medium Slow,Overgrow,50,45,20,Grass,,87.5
45,0.9,Monster,Wood Gecko,Dragon ,45,85,65,253,Ordinary,12.5,,50,Unburden,3,142,95,21.6,405,2 Speed,Dragon ,,Medium Slow,Overgrow,50,65,20,Grass,,87.5
45,1.7,Monster,Forest,Dragon ,65,105,85,254,Ordinary,12.5,,70,Unburden,3,239,120,52.2,530,3 Speed,Dragon ,,Medium Slow,Overgrow,50,85,20,Grass,,87.5
45,0.4,,Chick,Field,40,70,50,255,Ordinary,12.5,,45,Speed Boost,3,62,45,2.5,310,1 Sp. Atk,Field,,Medium Slow,Blaze,50,60,20,Fire,,87.5
45,0.9,,Young Fowl,Field,60,85,60,256,Ordinary,12.5,Fighting,60,Speed Boost,3,142,55,19.5,405,"1 Attack, 1 Sp. Atk",Field,,Medium Slow,Blaze,50,85,20,Fire,,87.5
45,1.9,,Blaze,Field,70,110,70,257,Ordinary,12.5,Fighting,80,Speed Boost,3,239,80,52.0,530,3 Attack,Field,,Medium Slow,Blaze,50,120,20,Fire,,87.5
45,0.4,Water 1,Mud Fish,Monster ,50,50,50,258,Ordinary,12.5,,50,Damp,3,62,40,7.6,310,1 Attack,Monster ,,Medium Slow,Torrent,50,70,20,Water,,87.5
45,0.7,Water 1,Mud Fish,Monster ,70,60,70,259,Ordinary,12.5,Ground,70,Damp,3,142,50,28.0,405,2 Attack,Monster ,,Medium Slow,Torrent,50,85,20,Water,,87.5
45,1.5,Water 1,Mud Fish,Monster ,90,85,90,260,Ordinary,12.5,Ground,100,Damp,3,241,60,81.9,535,3 Attack,Monster ,,Medium Slow,Torrent,50,110,20,Water,,87.5
255,0.5,,Bite,Field,35,30,30,261,Ordinary,50.0,,35,Quick Feet,3,56,35,13.6,220,1 Attack,Field,Rattled,Medium Fast,Run Away,50,55,15,Dark,Rattled,50.0
